Event Name,Date,Amount Payable,Employee ID,Name,Surname,Contact
Cleaning Shop,2025-05-01,231.50,9004123456087,Thabo,Molewa,0634567890
Assist in Shop,2025-05-02,175.50,9207102345012,Kopano,Moatshe,07432198765
Offload Truck,2025-05-03,125.50,8109175023083,Person,Some,0791234567
Offload Truck,2025-05-03,125.50,8809104567091,Zanele,Mkhize,0658765432
Offload Truck,2025-05-03,125.50,9304156789012,Daniel,Van Wyk,07123456789
Offload Truck,2025-05-03,125.50,9502081234085,Leah,Smit,0812345672
Offload Truck,2025-05-03,125.50,8903064567082,Tshepo,Moloi,07654321890
Assist in Store Rooms,2025-05-04,130.00,7807155123092,Sibusiso,Ngwenya,0749876543
Cleaning Shop,2025-05-05,231.50,8512236784095,Elsie,van der Merwe,0823456789
Offload Truck,2025-05-06,125.50,9307102345012,Thandi,Mokgosi,07432198765
Offload Truck,2025-05-06,125.50,8107309876053,Nomzamo,Dlamini,0769876541
Offload Truck,2025-05-06,125.50,9205195678041,Rohan,Padayachee,07023456781
Offload Truck,2025-05-06,125.50,9607301234094,Mandla,Sithole,07123451234
Offload Truck,2025-05-06,125.50,9503187893065,Elri,Steenkamp,07987654321
Cleaning Shop,2025-05-07,231.50,9003064567082,Ayanda,Ndaba,07654321890
Assist in Shop,2025-05-08,175.50,8105195678041,Ananya,Naidoo,07023456781
Offload Truck,2025-05-09,125.50,9004123456087,Thabo,Molewa,0634567890
Offload Truck,2025-05-09,125.50,8806159876056,Jason,Van Rooyen,07234567890
Offload Truck,2025-05-09,125.50,8604206789054,Anke,Visser,07334567123
Offload Truck,2025-05-09,125.50,9205302345076,Nina,Pretorius,0612345678
Assist in Store Rooms,2025-05-10,130.00,8709234567098,Kea,Motsapi,07623459876
Assist in Shop,2025-05-11,175.50,8512236784095,Elsie,van der Merwe,0823456789
Cleaning Shop,2025-05-12,231.50,9304156789012,Daniel,Van Wyk,07123456789
Offload Truck,2025-05-13,125.50,9502081234085,Leah,Smit,0812345672
Offload Truck,2025-05-13,125.50,8903064567082,Tshepo,Moloi,07654321890
Offload Truck,2025-05-13,125.50,9207102345012,Kopano,Moatshe,07432198765
Offload Truck,2025-05-13,125.50,8107309876053,Nomzamo,Dlamini,0769876541
Assist in Store Rooms,2025-05-14,130.00,9003064567082,Ayanda,Ndaba,07654321890
Assist in Shop,2025-05-15,175.50,9503187893065,Elri,Steenkamp,07987654321
Cleaning Shop,2025-05-16,231.50,9205195678041,Rohan,Padayachee,07023456781
Cleaning Shop,2025-05-17,231.50,7807155123092,Sibusiso,Ngwenya,0749876543
Assist in Shop,2025-05-18,175.50,8109175023083,Person,Some,0791234567
Assist in Store Rooms,2025-05-19,130.00,8809104567091,Zanele,Mkhize,0658765432
Cleaning Shop,2025-05-20,231.50,9307102345012,Thandi,Mokgosi,07432198765
